score,dataset,feature_count,dataset_size,number_of_classes,model,ensemble,ensemble_size,voting_system
0.983006535948,wine,13,178,3,svm,Random Networks,15,Arithmetic Mean
0.835083435083,spect,44,267,2,svm,Random Networks,20,Majority Voting
0.974819401445,dermatology,130,358,6,svm,Random Networks,6,Majority Voting
0.956173864895,house_votes,48,435,2,svm,Random Networks,15,Arithmetic Mean
0.92010270775,ionosphere,34,351,2,svm,Random Networks,15,Arithmetic Mean
0.926666666667,iris,4,150,3,svm,Random Networks,20,Arithmetic Mean
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Random Networks,15,Majority Voting
0.983006535948,wine,13,178,3,svm,Random Networks,20,Majority Voting
0.95303030303,thyroid,5,215,3,svm,Random Networks,12,Arithmetic Mean
0.958446592168,house_votes,48,435,2,svm,Random Networks,20,Majority Voting
1.0,soybean_small,72,47,4,svm,Random Networks,15,Arithmetic Mean
0.864042832168,crx,46,653,2,svm,Random Networks,8,Majority Voting
0.881414141414,fertility_yesnoOHE,17,100,2,svm,Random Networks,15,Arithmetic Mean
0.974819401445,dermatology,130,358,6,svm,Random Networks,4,Arithmetic Mean
0.92010270775,ionosphere,34,351,2,svm,Random Networks,20,Majority Voting
0.717044334975,breast_cancer,43,286,2,svm,Random Networks,20,Arithmetic Mean
0.92,iris,4,150,3,svm,Random Networks,25,Majority Voting
0.846347171347,spect,44,267,2,svm,Random Networks,20,Arithmetic Mean
0.624477795279,glass,9,214,6,svm,Random Networks,15,Majority Voting
0.925874253934,tic_tac_toe,27,958,2,svm,Random Networks,6,Majority Voting
0.95303030303,thyroid,5,215,3,svm,Random Networks,15,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Networks,20,Majority Voting
0.815507506534,urban_land_cover,147,675,9,svm,Random Networks,1,Majority Voting
0.881414141414,fertility_yesnoreal,14,100,2,svm,Random Networks,20,Arithmetic Mean
0.629023249824,glass,9,214,6,svm,Random Networks,12,Arithmetic Mean
0.924821622355,tic_tac_toe,27,958,2,svm,Random Networks,4,Arithmetic Mean
0.983006535948,wine,13,178,3,svm,Random Networks,20,Arithmetic Mean
0.864042832168,crx,46,653,2,svm,Random Networks,6,Arithmetic Mean
1.0,soybean_small,72,47,4,svm,Random Networks,20,Majority Voting
0.983006535948,wine,13,178,3,svm,Random Networks,25,Majority Voting
0.956173864895,house_votes,48,435,2,svm,Random Networks,20,Arithmetic Mean
